country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Jamaica,4350,4630,4910,5720,5690,5940,6150,6100,5970,6060,6200,6340,6430,6780,7040,7270,7740,8030,8180,7730,7820,8100,8320,8500,8630,8810,9130,9700,10000,10400,9400,10300,11700
Jordan,4260,4110,4640,4760,4890,5140,5150,5350,5510,5650,6080,6450,6710,7000,7700,8390,8770,9170,9640,9940,9830,10000,10200,10200,9350,9130,8990,9580,9770,9940,9720,10300,11100
Japan,20100,21400,22000,22400,23000,24100,25300,26000,25800,26100,27700,28400,29000,29900,31400,32900,34500,36100,36200,34400,36300,37300,38600,40800,41000,42500,42000,43000,43800,43900,43200,44900,48500
Kazakhstan,,,,6820,6160,5880,6090,6370,6440,6630,7240,8540,9610,10600,11700,12600,13900,15300,15400,16000,16700,17800,19100,21900,22200,21800,21500,22200,22900,24000,24400,25300,27300
Kenya,1670,1690,1660,1640,1680,1760,1830,1830,1870,1880,1880,1930,1920,1950,2050,2190,2320,2470,2460,2170,2320,2470,2550,2780,3040,3390,3970,4230,4500,4720,4670,5150,5680
Kyrgyz Republic,,2380,2070,1790,1440,1370,1470,1600,1610,1640,1750,1910,1930,2090,2230,2300,2470,2730,2910,2980,2890,2950,3530,3810,4100,4050,4440,4800,5100,5030,4900,5050,5670
Cambodia,,,,,,760,790,830,860,950,1040,1130,1190,1300,1440,1650,1850,2080,2210,2190,2330,2500,2730,2890,3020,3220,3510,3770,4090,4380,4330,4560,5070
Kiribati,1450,1960,2010,1960,1990,2110,1850,2230,2500,2270,2430,2550,2440,2350,2250,2320,2370,2460,2430,2300,2390,2290,2660,3010,3430,4090,3490,3760,3880,4320,3750,3790,3870
St. Kitts and Nevis,8740,8770,9150,9860,10500,11200,11800,12600,12300,12600,14100,14900,15200,14600,15900,18100,19500,20200,22900,22200,22500,23300,22500,23900,24600,24800,26300,28000,29300,32000,27400,28000,32600
South Korea,8350,9470,10200,11000,12200,13400,14600,15600,14800,16600,18400,19600,21300,22000,23700,25000,26800,29000,29900,29500,31800,32800,33900,34500,35500,38000,39700,41100,43200,43800,45100,47600,51100
Kosovo,,,,,,,,,,,,,,,,,,,6850,6980,7350,7970,8300,8580,8830,9510,10100,10700,11200,12100,11600,13400,15200
Kuwait,,,46100,56900,61700,68500,67300,70300,72500,66800,69800,67300,65400,75000,85300,94300,101000,101000,96900,85400,81300,83400,85800,81200,75400,51500,48800,57800,56800,56600,53500,59100,67200
Lao,1010,1060,1110,1180,1260,1340,1430,1490,1530,1660,1720,1830,1950,2030,2230,2470,2630,2920,3120,3390,3540,3830,4510,4960,5570,5850,6510,6830,7390,7700,7710,8170,8680
Lebanon,3650,4630,5500,6000,6590,7080,7780,7790,7930,7890,8100,8280,8230,7470,9290,9990,10400,11800,12700,13600,14600,15000,15800,15500,14800,15200,16300,17700,18000,17500,14100,13400,
Liberia,,,,,,,,,,,860,830,840,580,610,650,710,780,840,870,900,1000,1040,1210,1230,1160,1280,1400,1360,1360,1390,1470,
Libya,,,,,,,,,,,,,20700,23400,24000,26700,28900,31300,31100,29300,30300,16100,28800,24000,21000,22700,22200,24700,26700,24100,16800,22000,23600
St. Lucia,6040,6170,6790,6820,7010,7150,7470,7450,7930,8210,8820,8610,8820,9200,9920,10100,11300,11600,12300,12200,12400,13300,13000,13400,13100,12700,13700,14300,15200,15200,12100,14000,17100
Sri Lanka,2390,2550,2700,2930,3110,3300,3460,3730,3910,4100,4420,4420,4630,4970,5330,5770,6340,6900,7290,7600,8230,9050,10100,10700,11200,11700,12600,13200,13700,13800,13300,14300,14000
Lesotho,1230,1280,1310,1310,1380,1400,1490,1540,1520,1580,1630,1950,2000,2110,2130,2150,2220,2650,2750,2640,2730,2700,2640,2880,3050,3350,3290,2920,3050,3040,2780,2890,3190
Lithuania,,,,,,5920,6320,6940,7590,7630,8300,9310,10400,11800,12700,14300,16100,18400,20100,18500,20000,22200,23900,26100,27900,27800,29800,32500,35300,38600,39000,42400,47100
Luxembourg,29900,33400,34100,35200,35500,37400,38600,41000,41500,46000,48800,50000,49400,48700,58400,62600,63200,72400,71200,55400,61400,65500,74200,72400,76500,69400,75100,82300,83300,82000,84000,90200,94700
Latvia,,,,,,5560,5850,6540,7110,7340,8030,9070,10100,11000,12000,13800,15500,17700,19300,18200,17900,19200,21100,22600,23900,24900,26700,28600,30400,32300,32800,34100,39200
"Macao, China",26900,27900,31500,32900,34200,34900,34100,33900,31900,30400,31600,35500,38200,41700,51000,54600,59500,74900,68800,69600,84800,99800,109000,124000,125000,102000,101000,109000,116000,113000,68800,73200,73200
Morocco,2680,2920,2880,2870,3210,3040,3450,3400,3650,3720,3840,4180,4360,4670,4970,5240,5740,6030,6420,6540,6760,7160,7150,7390,7010,7550,7590,7800,8140,8440,7890,8780,9410
Moldova,,,,,,,3110,3220,3010,2980,3170,3520,3940,4350,4880,5420,5790,6030,6660,6100,6790,7310,7960,9070,9490,9850,11100,12100,13000,14000,12900,15400,15800
Madagascar,1130,1060,1070,1090,1070,1080,1100,1120,1150,1180,1230,1300,1120,1220,1290,1340,1410,1510,1590,1490,1470,1480,1440,1440,1470,1450,1510,1500,1540,1600,1470,1600,1730
Maldives,,,,,,5880,6330,6810,7290,7720,8110,8000,8590,9700,10400,9420,11700,10900,12000,10900,11200,12200,12600,13500,15000,16200,16900,17700,18800,19700,13400,18800,22800
Mexico,8490,9020,9410,9070,9440,8810,9400,10100,10700,10900,11500,11600,11700,12000,12600,13100,14300,14800,15600,15200,16000,17200,17800,17800,18500,18700,19700,20100,20500,20200,18400,19700,21800
Marshall Islands,,,,,,3430,2950,2800,2860,2890,3000,3240,3320,3350,3470,3730,3770,4040,3870,3970,4120,4180,4080,4500,4740,5370,5440,5690,6290,7240,7190,7230,8130
North Macedonia,5340,5230,4920,4750,4840,4910,5020,5150,5370,5620,6040,6010,6320,6520,7130,7710,8650,8920,10400,10900,11200,11500,11700,12400,13200,13400,14500,15100,16100,17200,16800,18100,19400
Mali,760,860,830,860,890,890,950,990,1050,1100,1090,1200,1200,1330,1350,1430,1490,1530,1590,1600,1660,1700,1640,1700,1800,1910,2050,2080,2170,2220,2150,2230,2420
Malta,9030,9520,9940,10400,10900,12700,13200,13900,14200,15200,17700,18600,19800,20900,21500,21600,22400,23800,26100,25300,27200,28300,28800,30700,32600,35400,35800,39100,41600,45000,40600,45600,50200
Myanmar,430,440,490,520,570,610,660,700,740,820,940,1060,1200,1380,1590,1850,2140,2440,2730,3020,3320,3550,3660,3980,4150,4270,4310,4520,4910,5260,4880,4470,4910
Montenegro,,,,,,,,,,,6310,7110,7500,7770,8250,8410,10600,12600,14000,13100,13500,14600,14100,15200,15600,16700,18400,20100,21800,24100,20800,23800,27600
Mongolia,3320,3130,2800,2700,2810,3030,3140,3280,3440,3560,3630,3800,4000,4300,4860,5250,5870,6510,7090,6880,7020,8260,9550,10100,10300,9870,9940,9830,11200,11600,11200,11000,12500
Mozambique,,280,260,290,300,300,340,370,400,450,440,500,500,580,640,670,720,790,840,900,940,1020,1050,1090,1140,1280,1340,1250,1290,1310,1240,1230,1210
Mauritania,2590,2650,2650,2740,2620,2860,3180,3020,3070,3150,2990,2880,3050,3250,3420,3720,4250,4210,4210,4190,4130,4210,4220,4440,4230,4180,4740,5180,5470,5550,5460,5580,6260
Mauritius,4970,5360,5770,6120,6370,6740,7130,7620,8070,8310,9110,9610,9850,10500,11200,11700,12600,13900,14800,15000,16100,16600,17800,18600,19400,20400,21700,22700,24700,25900,22400,24300,26400
Malawi,670,730,680,750,690,830,890,920,940,960,980,920,930,980,1030,1070,1120,1230,1320,1390,1450,1510,1460,1560,1520,1420,1470,1430,1490,1560,1550,1610,1700
Malaysia,6710,7330,7920,8710,9440,10300,11300,11900,10800,11200,12000,12100,12700,13600,14600,15600,16900,18200,18800,18500,19500,20800,21700,22200,23200,23500,24200,25200,26600,28100,26800,28400,32400
Namibia,3940,4340,4490,4370,4400,4640,4630,4770,4890,4870,5150,5180,5510,5970,6570,6670,7330,7660,7920,7860,8130,8690,9080,9840,10600,10800,10400,10200,10100,10200,9510,9890,11200
Niger,740,740,740,740,740,750,750,750,820,810,790,840,870,870,880,940,990,1000,1060,1050,1110,1120,1190,1160,1190,1190,1180,1200,1280,1330,1230,1330,1380
Nigeria,,,,,,,,,,,,,,,,,,,3920,4120,4380,4580,4660,4880,5240,5200,5080,5010,5070,5190,5080,5330,5700
Nicaragua,1940,1760,1720,1740,1780,1960,2110,2230,2350,2520,2640,2730,2770,2870,3080,3300,3470,3710,3860,3690,3850,4120,4220,4350,4700,5030,5350,5610,5480,5420,5160,5880,6380
Netherlands,18600,19700,20200,21000,22100,23300,24500,25900,27200,29100,31700,32300,33500,33700,35300,37000,40700,43500,44200,42900,44600,46400,46800,48900,48700,49800,51000,54500,57600,59000,57900,65500,70200
Curaçao,,,,,,,,,,,,,,,,24500,25100,25900,26000,25500,25900,25900,24700,24300,24100,24000,23600,24500,24800,25000,21200,23400,
Norway,17900,19000,20200,21100,22600,24100,26500,28300,27900,30300,36500,37900,38200,38900,42800,48500,54400,56000,61800,55900,58900,63100,66300,68100,68400,63300,61900,66900,73100,72000,67800,83800,118000
Nepal,830,890,920,950,1030,1060,1110,1160,1190,1240,1320,1390,1390,1450,1540,1630,1730,1830,1970,2060,2170,2280,2490,2670,2930,2970,2960,3530,3830,4130,4020,4280,4750
Nauru,,,,,,,,,,,,,,,,,,4410,6760,6840,6940,7980,10200,11100,12400,12900,13700,13100,13600,15500,17200,19500,19600
New Zealand,14200,13600,13900,14800,15900,16800,17100,18000,18400,19400,20300,21400,22100,22900,23700,24000,25900,27200,27700,29400,29700,31200,31600,34800,35800,36200,38600,40600,41000,44700,44600,47100,50900
Oman,25700,27100,28300,29400,30300,32000,32900,34800,35600,35500,38100,40100,39700,39800,41100,42000,45400,47800,50600,52400,50300,47600,47700,45800,42500,35400,32900,33000,33100,32900,32500,35300,38600
