country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Seychelles,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12522,12531,12548,12575,12610,12654,12699,12743,12788,12833,12878,12923,12968,13014,13060,13105,13151,13197,13244,13290,13337,13384,13431,13478,13525,13572,13620,13668,13716,13764,13812,13860,13909,13988,14067,14146,14226,14306,14387,14468,14549,14631,14713,14796,14879,14962,15046,15130,15215,15300,15385,15471,15557,15644,15731,15818,15906,15995,16083,16172,16262,16352,16442,16533,16625,16716,16809,16901,16994,17088,17182,17324,17516,17759,18055,18404,18759,19122,19491,19868,20252,20651,21066,21498,21947,22413,22890,23376,23872,24380,24897,25369,25794,26170,26495,26767,27042,27320,27600,27884,28117,28349,28579,28807,29033,29257,29483,29711,29941,30172,30405,30698,31053,31470,31951,32499,33056,33622,34198,34784,35380,35882,36286,36592,36797,36900,37002,37106,37209,37313,37417,37680,38106,38300,38581,38918,39318,39788,40331,40943,41608,42344,43167,44041,44969,45964,47023,48123,49284,50523,51808,53098,54379,55694,57052,58359,59621,60943,62181,63166,63978,64662,65290,65930,66435,66859,67346,67833,68325,68897,69585,70343,71057,71754,72417,73040,73846,74735,75550,76531,77664,78833,80060,81262,82433,83592,84715,85883,87093,88325,89644,91030,92409,93827,95309,96714,98001,99240,100508,101811,103101,104373,105530,106471,107118,107660,108263,108844,109397,109913,110404,110877,111317,111734,112144,112531,112902,113262,113606,113944,114267,114569,114862,115143,115406,115647,115864,116059,116231,116377,116496,116585,116644,116669,116671,116653,116605,116523,116413,116281,116124,115951,115766,115556,115328,115096,114850,114597,114345,114081,113806,113534,113258,112978,112695,112406,112118,111835,111552,111257,110954,110659,110361,110052,109746,109436,109123,108815,108496,108175,107851,107528,107202,106867,106539,106204,105862,105510,105153,104790,104419,104043,103654
Sierra Leone,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794264,794159,793950,793636,793218,792696,792174,791652,791130,790609,790088,789568,789048,788528,788008,787489,786971,786452,785934,785416,784899,784382,783865,783349,782833,782317,781802,781287,780772,780258,779744,780112,781365,783867,787265,791564,795887,800233,804603,808996,813413,818018,822814,827803,832986,838367,843782,849232,854717,860237,865793,871560,877540,883737,890154,896792,903480,910217,917005,923843,930732,937672,944663,951707,958803,965951,973153,980408,987717,995080,1002498,1009971,1017500,1025084,1032725,1040423,1048177,1055989,1063860,1071788,1079776,1087823,1095929,1104096,1112324,1120612,1128963,1137375,1145849,1154387,1162988,1171417,1179670,1187746,1195641,1203352,1211112,1218922,1226783,1234693,1242101,1251817,1263887,1278360,1295287,1314716,1334437,1354453,1374770,1395391,1416322,1437275,1458247,1479233,1500230,1521233,1542530,1564126,1586023,1608228,1630743,1654914,1680790,1708417,1737846,1769127,1800971,1833389,1866390,1899985,1934184,1967796,2000790,2026722,2053036,2079381,2106618,2135644,2166117,2197811,2230000,2264044,2301310,2341065,2382914,2426750,2472686,2520576,2569736,2620396,2672370,2724901,2778557,2832392,2886642,2942333,2998843,3055916,3112863,3172195,3235170,3300032,3367477,3437108,3509197,3585773,3666262,3749419,3842917,3947865,4056215,4159163,4325388,4378169,4301566,4295689,4314953,4324149,4347370,4405028,4449975,4475145,4584067,4857096,5140113,5350907,5533329,5683334,5809774,5939163,6090860,6259842,6436698,6612385,6788587,6964859,7140688,7314773,7493913,7677565,7861281,8046828,8233970,8420641,8605718,8791092,8977972,9165377,9353150,9540988,9728849,9917103,10105188,10292481,10479347,10666285,10852747,11037683,11220979,11402875,11583095,11761685,11938548,12113574,12286370,12457058,12626220,12793558,12958858,13122257,13283013,13440438,13595023,13747660,13898072,14045665,14190036,14331676,14470926,14606993,14739551,14868165,14993237,15114456,15231307,15344427,15453397,15558524,15660087,15758034,15852990,15944503,16031833,16115154,16194928,16270945,16343462,16411915,16475776,16535528,16591197,16643294,16691487,16735848,16776779,16813579,16847089,16877651,16904581,16928019,16948315,16965354,16979454,16990765,16998747,17003371,17005233,17004621,17001760,16996801,16989076,16978646,16965728
Singapore,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30126,30381,30767,31288,31946,32618,33303,34003,34718,35448,36193,36954,37731,38524,39334,40161,41006,41868,42748,43646,44564,45501,46458,47434,48431,49450,50489,51551,52634,53741,54865,56006,57142,58295,59465,60659,61877,63119,64386,65679,66998,68343,69714,71114,72542,73998,75483,76998,78544,80121,81917,83944,86211,88730,91512,94381,97340,100392,103540,106786,110134,113587,117149,120821,124609,128516,132545,136701,140987,145407,149971,154683,159549,164574,169762,175113,180633,186328,192201,198260,204914,212200,220154,228815,238224,248020,258218,268836,279891,291400,301978,311561,320082,327471,333652,339950,346367,352904,359566,366501,375380,386317,399433,414856,432717,451347,470780,491049,512191,534243,554962,574238,591953,607984,622202,636753,651644,666883,682478,698439,715930,735023,755794,778320,802682,827807,853718,880440,907998,936419,969218,1006701,1048937,1096232,1148751,1206218,1267611,1332581,1400696,1469690,1538021,1601079,1657549,1711053,1762516,1812329,1860651,1906846,1950283,1990676,2027411,2061831,2095900,2131565,2168363,2202329,2232425,2261936,2292166,2323251,2358229,2400729,2451722,2507219,2564773,2624370,2685994,2749727,2814742,2880504,2945693,3022209,3120620,3228231,3334131,3438613,3543875,3651903,3760649,3866293,3966481,4053602,4121337,4176794,4226413,4270401,4344637,4486583,4663256,4838402,5010704,5163590,5281344,5381005,5478055,5570502,5650018,5711933,5764487,5814537,5866405,5909869,5941060,5975689,6014723,6052709,6089541,6125154,6159440,6192172,6223066,6251988,6278864,6303417,6325533,6345049,6361936,6376275,6387977,6397036,6403564,6407736,6409441,6408677,6405781,6400931,6394197,6385724,6375719,6364240,6351377,6337235,6321940,6305655,6288386,6270241,6251491,6232164,6212227,6191813,6170998,6149811,6128514,6107035,6085275,6063338,6041188,6018953,5996711,5974448,5952202,5929935,5907684,5885535,5863386,5841307,5819517,5798091,5777011,5756184,5735623,5715498,5695770,5676525,5657915,5639880,5622316,5605212,5588666,5572726,5557491,5542950,5529074,5515952,5503641,5492358,5482102,5472797,5464551,5457422,5451408,5446430
Slovak Republic,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2140651,2142239,2145419,2150200,2156585,2164582,2172608,2180664,2188750,2196866,2205012,2213189,2221395,2229632,2237900,2246198,2254527,2262887,2271278,2279700,2288153,2296638,2305154,2313701,2322281,2330892,2339535,2348210,2356917,2365657,2374429,2383233,2392070,2400733,2409427,2418153,2426910,2435699,2444519,2453372,2462257,2471173,2480123,2489104,2498118,2507165,2516244,2525356,2534501,2543679,2552891,2562136,2571414,2580726,2590071,2599451,2608864,2618312,2627793,2637309,2646859,2656444,2666064,2675718,2685408,2695132,2704892,2714687,2724517,2734383,2744285,2754222,2764196,2774205,2784251,2794333,2804452,2814607,2824799,2835028,2845294,2855597,2865937,2876315,2886730,2897183,2907674,2918203,2928770,2939375,2950019,2960701,2971421,2982181,2992979,3003817,3014694,3025610,3036565,3047561,3058861,3070204,3081588,3093015,3104484,3115995,3127549,3139147,3150787,3162470,3174196,3185967,3197780,3209638,3221539,3233485,3245475,3257509,3269588,3281712,3293881,3306094,3318354,3330658,3343008,3355404,3367846,3380334,3392869,3405450,3418077,3438089,3465617,3524943,3591182,3659422,3727388,3796626,3867651,3936315,4002213,4064383,4124239,4185077,4235337,4277652,4322111,4363511,4400352,4433961,4463936,4492219,4522867,4557502,4597164,4641289,4688472,4737059,4786342,4835452,4883368,4930967,4973883,5011717,5048145,5082436,5115041,5146571,5175411,5201174,5224908,5245118,5261305,5280226,5301892,5321859,5338811,5349997,5358289,5365829,5371081,5374620,5376690,5376456,5375206,5374376,5374931,5376242,5377235,5378382,5381636,5388926,5396424,5402680,5409283,5414739,5419569,5424444,5431203,5439417,5446745,5453924,5456681,5447622,5643453,5795199,5702832,5635034,5595797,5578672,5570123,5563418,5555114,5545269,5533949,5521189,5507060,5491597,5475035,5457575,5439248,5420159,5400488,5380279,5359631,5338769,5317613,5296171,5274528,5252775,5230974,5209078,5186967,5164583,5141926,5118878,5095323,5071137,5046276,5020742,4994511,4967454,4939534,4910757,4881123,4850678,4819485,4787574,4755050,4722022,4688561,4654861,4620968,4586965,4553169,4519713,4486591,4453916,4421798,4390284,4359354,4329176,4299865,4271238,4243381,4216408,4190225,4164864,4140302,4116552,4093515,4071041,4049216,4027997,4007273,3987099,3967410,3948056,3928941,3910034,3891328,3872798,3854319
Slovenia,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,469664,470491,472152,474655,478007,482215,486460,490743,495063,499422,503818,508254,512728,517242,521796,526390,531024,535699,540415,545173,549972,554814,559698,564626,569597,574611,579670,584773,589921,595115,600354,605639,610971,616223,621519,626861,632248,637682,643163,648691,654266,659889,665560,671280,677049,682868,688737,694656,700626,706647,712720,718846,725023,731254,737538,743877,750270,756717,763220,769779,776394,783066,789796,796583,803428,810332,817296,824319,831403,838547,845753,853021,860351,867744,875201,882721,890306,897957,905673,913455,921304,929221,937205,945258,953380,961572,969835,978168,986573,995050,1003599,1012223,1020920,1029692,1038539,1047462,1056462,1065539,1074694,1083928,1093471,1103097,1112809,1122606,1132489,1142459,1152517,1162663,1172899,1183225,1193642,1204150,1214751,1225445,1236234,1247117,1258096,1269172,1280346,1291618,1302989,1314460,1326032,1337706,1349483,1361363,1373348,1385439,1397636,1409940,1422353,1434054,1445033,1458637,1472894,1488604,1505245,1521772,1538081,1554148,1569730,1584908,1599571,1613624,1627384,1641161,1655107,1669453,1684505,1699820,1714458,1728167,1741286,1754881,1769709,1785222,1800974,1817044,1833543,1850369,1867379,1884595,1901570,1916320,1927956,1937234,1945141,1952518,1959550,1966495,1973494,1980180,1986024,1989797,1991340,1991685,1991449,1991106,1990667,1989828,1988279,1986261,1984339,1982487,1983767,1989411,1996722,2004778,2013570,2023229,2034033,2045578,2057287,2065453,2069354,2072374,2074917,2080862,2090020,2098392,2105924,2112901,2117641,2119410,2119844,2119675,2118965,2117762,2116129,2114109,2111727,2108994,2105945,2102637,2099124,2095434,2091539,2087470,2083249,2078881,2074358,2069646,2064752,2059689,2054419,2048934,2043204,2037161,2030851,2024309,2017553,2010553,2003258,1995712,1987935,1979940,1971777,1963439,1954909,1946224,1937425,1928528,1919563,1910561,1901541,1892530,1883531,1874565,1865697,1856949,1848286,1839721,1831303,1823072,1815010,1807114,1799426,1791939,1784633,1777547,1770713,1764133,1757799,1751659,1745725,1740022,1734543,1729269,1724181,1719276,1714545,1709955,1705495,1701183,1697009,1692940,1688972,1685067,1681196,1677387,1673607,1669841,1666113
Solomon Islands,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,56998,57121,57369,57743,58244,58873,59510,60153,60803,61460,62125,62796,63475,64161,64855,65556,66264,66981,67705,68436,69176,69924,70680,71444,72216,72997,73786,74583,75389,76204,77028,77861,78702,79533,80372,81221,82078,82944,83820,84704,85598,86502,87415,88337,89270,90212,91164,92126,93098,94081,95074,96077,97091,98116,99151,100197,101255,102323,103403,104494,105597,106711,107838,108976,110126,111288,112462,113649,114848,116060,117285,118522,119773,121037,122314,123605,124909,126227,127559,128905,130265,131639,133028,134432,135851,137284,138733,140196,141676,143170,144681,145908,146847,147497,147854,147914,147975,148035,148096,148156,148255,146959,144333,140437,135329,129064,123089,117391,111957,106774,101831,97992,95207,93428,92610,92708,92806,92904,93002,93101,93199,93496,93992,94691,95595,96707,97832,98970,100121,101286,102464,103770,105209,107119,109309,111760,114448,117314,120288,123373,126649,130071,133440,136780,140254,143863,147609,151495,155514,159667,163973,168399,172833,177264,181876,186816,192155,197853,204082,210932,218193,225786,233668,241827,250250,258945,267913,277158,286527,295836,305132,314560,324171,333952,343916,354086,364505,375189,386069,397050,408145,419229,429978,440395,450760,461216,471785,482486,493430,504619,516001,527833,540394,553721,567763,582365,597375,612660,628102,643634,659249,674993,691191,707851,724273,740424,756673,773027,789449,805947,822593,839363,856264,873346,890636,908135,925799,943640,961667,979865,998284,1016888,1035616,1054447,1073371,1092351,1111355,1130412,1149476,1168539,1187560,1206524,1225407,1244174,1262887,1281571,1300201,1318755,1337246,1355714,1374091,1392382,1410600,1428732,1446831,1464786,1482640,1500503,1518276,1535879,1553392,1570928,1588372,1605581,1622605,1639479,1656241,1672876,1689189,1705232,1721047,1736656,1752059,1767179,1782036,1796642,1811021,1825142,1839006,1852626,1865994,1879109,1891973,1904497,1916732,1928646,1940176,1951426,1962437,1973151,1983529,1993634,2003495
Somalia,988951,989372,989796,990219,990642,991066,991490,991914,992338,992762,993190,993894,994879,996147,997700,999540,1001670,1004090,1006802,1009810,1013114,1019757,1026458,1039860,1053438,1067193,1081128,1095244,1109545,1124033,1138709,1153578,1168640,1183900,1199358,1215018,1230883,1246955,1263237,1279731,1296441,1313369,1330518,1347891,1365491,1383320,1401383,1419681,1438218,1453143,1464409,1471377,1474586,1473992,1473398,1472804,1472211,1471617,1471023,1470429,1469836,1469242,1468648,1468054,1467461,1466867,1466273,1465680,1465086,1464785,1464777,1465062,1465639,1466509,1467380,1468250,1469121,1469992,1470864,1471736,1472608,1473480,1474352,1475225,1476098,1476972,1477845,1478719,1479594,1481061,1483123,1485781,1489037,1492893,1496759,1500634,1504520,1508415,1512319,1516234,1520159,1524093,1528038,1531992,1535956,1539931,1543915,1547909,1551914,1555616,1559015,1562110,1564900,1567383,1569869,1572359,1574853,1577351,1580505,1586205,1594481,1605363,1618883,1635072,1651422,1667937,1684616,1701462,1718477,1734960,1750902,1766291,1781115,1795364,1809727,1824205,1838799,1853509,1868337,1885942,1906384,1929728,1956037,1985378,2015159,2045386,2076067,2107208,2138816,2174056,2213052,2276334,2339499,2402348,2465552,2529910,2595391,2662084,2729160,2798191,2870732,2945662,3022827,3102170,3183590,3267593,3353665,3441799,3532420,3625274,3720977,3818389,3918220,4022336,4125823,4228289,4333779,4449505,4777703,5408813,5892224,5934938,5951805,6142513,6369020,6630637,6908579,7158004,7160461,7035378,6999096,6732702,6428141,6620729,6959828,7210930,7472450,7734313,8056862,8384479,8721465,9070747,9411103,9758281,10117354,10467292,10784973,11118092,11444870,11730037,12026649,12216837,12440326,12852485,13309235,13763906,14292847,14864221,15411094,15981300,16537016,17065581,17597511,18143378,18706922,19281903,19867185,20463994,21071158,21689079,22316857,22954690,23603148,24260802,24929000,25606196,26289267,26980593,27679425,28383844,29094714,29812160,30535607,31263713,31997075,32734341,33475243,34220748,34967417,35714724,36462830,37211342,37960722,38710516,39461313,40210639,40957262,41701251,42442082,43179007,43912900,44641487,45364664,46084962,46800928,47512003,48217096,48916611,49608084,50290955,50967024,51636346,52299005,52953816,53600468,54239537,54866625,55479980,56084971,56681407,57264688,57833978,58393789,58945283,59486365,60016254,60530014,61029626,61521694,62000715,62464711,62916338,63353514,63775871,64184959,64578676,64955971,65317937,65668553,66008750,66335733
South Africa,1447911,1453209,1458526,1463862,1469219,1474594,1479989,1485404,1490839,1496293,1502136,1508101,1514561,1521524,1528996,1536982,1545491,1554530,1564103,1574220,1584887,1602722,1620823,1657035,1694055,1731903,1770596,1810154,1850595,1891940,1934209,1977422,2021601,2066766,2112941,2160147,2208408,2257747,2308188,2359756,2412477,2466375,2521477,2577811,2635403,2694282,2754476,2816015,2878929,2935885,2986678,3033196,3073171,3106364,3139915,3173826,3208102,3242747,3277764,3313158,3348933,3385092,3421640,3458580,3495918,3533658,3571803,3610358,3649328,3688717,3728529,3768768,3809441,3850550,3892102,3934099,3976549,4019454,4062820,4106653,4150956,4195735,4240996,4286743,4332981,4379716,4426953,4474698,4522955,4571731,4621030,4670859,4721224,4772129,4823580,4875584,4928147,4981274,5034971,5095769,5163858,5239436,5322703,5413866,5506587,5600893,5696812,5794372,5893599,5993374,6093688,6194530,6295888,6397751,6501260,6606440,6713319,6821924,6927689,7042968,7168076,7303334,7449070,7605625,7765470,7928675,8095309,8265446,8439158,8615057,8793161,8973484,9156043,9340853,9529394,9721741,9917969,10118159,10322389,10528607,10736810,10946998,11159168,11373317,11591575,11814022,12040737,12271803,12507304,12764367,13043844,13325058,13622914,13933246,14255876,14594129,14948934,15320138,15700877,16096455,16520441,16989464,17503133,18042215,18603097,19187194,19789771,20410677,21050540,21704214,22368306,23031441,23698507,24382513,25077016,25777964,26480300,27199838,27943445,28697014,29463549,30232561,31022417,31865176,32768207,33752964,34877834,36119333,37393853,38668684,39877570,40910959,41760755,42525440,43267982,43986084,44661603,45285048,45852166,46364681,46813266,47229714,47661514,48104048,48556071,49017147,49491756,49996094,50565812,51170779,51784921,52443325,53145033,53873616,54729551,55876504,56422274,56641209,57339635,58087055,58801927,59392255,59893885,60414495,61020221,61673081,62305039,62918916,63514502,64093732,64659278,65211526,65752924,66284189,66804167,67314133,67815933,68308246,68788495,69256823,69713937,70160652,70595132,71016168,71423671,71816201,72192155,72551393,72894219,73220860,73529753,73819238,74089701,74342981,74580110,74799050,75001120,75188808,75362119,75520304,75663198,75793041,75912773,76022453,76120999,76208045,76283732,76351934,76412770,76462114,76502155,76536239,76563061,76578860,76584111,76579882,76567382,76548374,76522764,76488404,76445383,76396515,76341015,76280819,76216708,76146535,76071992,75994768,75913621,75827380,75736556,75640985,75538822,75431323,75319878,75203788,75084182,74959932,74830455,74697591,74559590
South Sudan,1027378,1028736,1030097,1031459,1032822,1034188,1035555,1036925,1038296,1039668,1041076,1042610,1044304,1046159,1048176,1050356,1052700,1055209,1057883,1060724,1063732,1066909,1070256,1073773,1077461,1081322,1085356,1089564,1093948,1098508,1103246,1108161,1113099,1118059,1123040,1128044,1133071,1138119,1143190,1148284,1153400,1158540,1163702,1168887,1174095,1179326,1184581,1189859,1195161,1200486,1205835,1216960,1228159,1239435,1250786,1262214,1273720,1285302,1296963,1308701,1320519,1332416,1344393,1356450,1368588,1380807,1393108,1405491,1417957,1430506,1443138,1455472,1468270,1481153,1494122,1507177,1520319,1533547,1546864,1560269,1573763,1587345,1601018,1614781,1628635,1642580,1656617,1670747,1684970,1699286,1713696,1728201,1742802,1757498,1772290,1787180,1802167,1817252,1832435,1847718,1863101,1878584,1894168,1909854,1925641,1941532,1957526,1973624,1989826,2006134,2022548,2038879,2055505,2072239,2089080,2106030,2123090,2140261,2149797,2159376,2168997,2178661,2188369,2198120,2207914,2217752,2227633,2237559,2247529,2257544,2267602,2277706,2287855,2298049,2308288,2318573,2328904,2339281,2349704,2360173,2370690,2381253,2391863,2402521,2413226,2423978,2434778,2445627,2456524,2467469,2492077,2526073,2563626,2604566,2648678,2695349,2742974,2790015,2831370,2868501,2907724,2948953,2992270,3036238,3088701,3143622,3185305,3221957,3261725,3301892,3342410,3396808,3464715,3542465,3629608,3718279,3808615,3901044,3995911,4092792,4192012,4293866,4398297,4502541,4603039,4706975,4819667,4893809,4814879,4706626,4750817,4867185,4956969,5018172,5142863,5302042,5434894,5589410,5699436,5850145,6114440,6394431,6686100,6992367,7317118,7662654,8029517,8417823,8823888,9229227,9714419,10243050,10701604,11106031,11213284,11194299,11066105,10658226,10395329,10447666,10606227,10748272,10913164,11088796,11277092,11473439,11676686,11887262,12105957,12333241,12570402,12816418,13069562,13327397,13588252,13850995,14112524,14371522,14628915,14883663,15134633,15383050,15628860,15871459,16110244,16343904,16573684,16800487,17023893,17243955,17460846,17675282,17886381,18094509,18300053,18503071,18704513,18904694,19103065,19299676,19495206,19690183,19884336,20076181,20265487,20452754,20637432,20818870,20996658,21170579,21339913,21503005,21658462,21807905,21952423,22090435,22221355,22344858,22461737,22572754,22677387,22775233,22866693,22952512,23032835,23107008,23175094,23237802,23295783,23349447,23398668,23443248,23483975,23521851,23556908,23589531,23619762,23647704,23673711,23697861,23720027
Spain,11500000,11534168,11568438,11602809,11637283,11671859,11706538,11741320,11776205,11811194,11846391,11881588,11916890,11952297,11987809,12023426,12059150,12094979,12130915,12175970,12230231,12293786,12366723,12449131,12532089,12615600,12699667,12784295,12869486,12955253,13041601,13128533,13216052,13304164,13392863,13482154,13572039,13662525,13753613,13845298,13937584,14030474,14123973,14218084,14312822,14408192,14504197,14600842,14698130,14790851,14878948,14962372,15041059,15114951,15189206,15263826,15338812,15414166,15489891,15561625,15629333,15692979,15752530,15807948,15863561,15919369,15975374,16031576,16087976,16146102,16205967,16267583,16330962,16396117,16461531,16527207,16593144,16659345,16725809,16796632,16871852,16951508,17035639,17124285,17213392,17302962,17392999,17483504,17574480,17663309,17749968,17834434,17916684,17996694,18077062,18157788,18238875,18320325,18402137,18492800,18592411,18701066,18818864,18945905,19073803,19202565,19332196,19462702,19594089,19726214,19859082,19992695,20127058,20262175,20398200,20535137,20672994,20811776,20951479,21105927,21275357,21460007,21660122,21875945,22093919,22314065,22536404,22760959,22987751,23214389,23440849,23667105,23893132,24118905,24346811,24576871,24809105,25043533,25280177,25514739,25747164,25977393,26205369,26431030,26658635,26888200,27119742,27353278,27588824,27827617,28069694,28207080,28404771,28633539,28862377,29095374,29329776,29577444,29857437,30150510,30415591,30711863,31052630,31388554,31747643,32112015,32462268,32814224,33157581,33480512,33792617,34133622,34515170,34898147,35329897,35760431,36139064,36513082,36865443,37188965,37491666,37758649,37982149,38169760,38329925,38471920,38590808,38694533,38781722,38847318,38889889,38997063,39202251,39420546,39623725,39814573,39996473,40180050,40362357,40542232,40741651,40966450,41477655,42230270,42959666,43685374,44422831,45245782,45966538,46367772,46572772,46729232,46756082,46603459,46464551,46431342,46473315,46584170,46792043,47131372,47363807,47486935,47558630,47519628,47473373,47420024,47360679,47296155,47226694,47153700,47076573,46995541,46911380,46822907,46728914,46629612,46525082,46414916,46299435,46177346,46047876,45910270,45763466,45607779,45443430,45269679,45084984,44887980,44678170,44455244,44219565,43971374,43710569,43437846,43153594,42858208,42552810,42238865,41917656,41590160,41256870,40919293,40578304,40235561,39892380,39548432,39204846,38863162,38524230,38188787,37858084,37533897,37217277,36907527,36605673,36313459,36031251,35759087,35496454,35243317,34998697,34761799,34532211,34308910,34091152,33877249,33667226,33460949,33256943,33055165,32855479,32656643,32458234,32260881,32064222,31867655,31671214,31474039,31276177,31078356,30880752
Sri Lanka,1750000,1718222,1687020,1656386,1626307,1596775,1567779,1539310,1511357,1483912,1457455,1430989,1405004,1379490,1354440,1329845,1305696,1281986,1258706,1245181,1241422,1247445,1263271,1288922,1315094,1341798,1369044,1396842,1425206,1454145,1483672,1513799,1544537,1575899,1607898,1640547,1673859,1707847,1742526,1777908,1814009,1850844,1888426,1926771,1965894,2005813,2046541,2088097,2130497,2157803,2169961,2168520,2151774,2119618,2087941,2056737,2025998,1995717,1965888,1957494,1971076,2007196,2066447,2149451,2235787,2325589,2418997,2516156,2617216,2704663,2777781,2835824,2878014,2903538,2929287,2955263,2981468,3007904,3034572,3062740,3092435,3123685,3156520,3190968,3225791,3260992,3296576,3332546,3368907,3409558,3454615,3504193,3558411,3617392,3677348,3738296,3800252,3863232,3927255,3993945,4063376,4135627,4210776,4288903,4368477,4449526,4532076,4616155,4701791,4783161,4860106,4932467,5000078,5062771,5126248,5190518,5255592,5321478,5384373,5444221,5500957,5554509,5604809,5651786,5699156,5746923,5795091,5843662,5892641,5940664,5987713,6033771,6078819,6122838,6167177,6211836,6256819,6302127,6347764,6411140,6492745,6593081,6712659,6852003,6994240,7139430,7287633,7438913,7593333,7762151,7945977,8091461,8245475,8406910,8575075,8749627,8931095,9122978,9329666,9551293,9783871,10022888,10267067,10517531,10774086,11035224,11299721,11571008,11846815,12119207,12388769,12654651,12914457,13169737,13418276,13662873,13910170,14159052,14414816,14680387,14943645,15198918,15438753,15658442,15872577,16092338,16317995,16547139,16773736,16990575,17204094,17416596,17624457,17825611,18011744,18177572,18322506,18449123,18560798,18670411,18776371,18920275,19110707,19303180,19490431,19673866,19870706,20078655,20285643,20482477,20668557,20859743,21017147,21131756,21239457,21336697,21425494,21506813,21580710,21649664,21715079,21773441,21832143,21893579,21949268,22000246,22046386,22087510,22124288,22157456,22186970,22212436,22234271,22252909,22268031,22278745,22285234,22287571,22285269,22277488,22263893,22244994,22220535,22190606,22154591,22112321,22064179,22009917,21950180,21885412,21814985,21739207,21658999,21574573,21486263,21394260,21298669,21200047,21099207,20995891,20889752,20781245,20670566,20557583,20441963,20323834,20203022,20079331,19953220,19824960,19694118,19560333,19424029,19285397,19144097,18999945,18853179,18703875,18551931,18397625,18241133,18082317,17921136,17757732,17592498,17425401,17256392,17085473,16912546,16737442,16560059,16380632,16199412,16016529,15831892,15645483,15457674,15268592,15078382,14887090,14694772
